Clave,Estado,Delegación/Municipio
9-2,Ciudad de México,AZCAPOTZALCO
9-3,Ciudad de México,COYOACAN
9-4,Ciudad de México,CUAJIMALPA DE MORELOS
9-5,Ciudad de México,GUSTAVO A. MADERO
9-6,Ciudad de México,IZTACALCO
9-7,Ciudad de México,IZTAPALAPA
9-8,Ciudad de México,LA MAGDALENA CONTRERAS
9-9,Ciudad de México,MILPA ALTA
9-10,Ciudad de México,ALVARO OBREGON
9-11,Ciudad de México,TLAHUAC
9-12,Ciudad de México,TLALPAN
9-13,Ciudad de México,XOCHIMILCO
9-14,Ciudad de México,BENITO JUAREZ
9-15,Ciudad de México,CUAUHTEMOC
9-16,Ciudad de México,MIGUEL HIDALGO
9-17,Ciudad de México,VENUSTIANO CARRANZA
15-20,Estado de México,COACALCO DE BERRIOZABAL
15-24,Estado de México,CUAUTITLAN
15-25,Estado de México,CHALCO
15-29,Estado de México,CHICOLOAPAN
15-31,Estado de México,CHIMALHUACAN
15-33,Estado de México,ECATEPEC DE MORELOS
15-37,Estado de México,HUIXQUILUCAN
15-39,Estado de México,IXTAPALUCA
15-57,Estado de México,NAUCALPAN DE JUAREZ
15-58,Estado de México,NEZAHUALCOYOTL
15-60,Estado de México,NICOLAS ROMERO
15-70,Estado de México,LA PAZ
15-81,Estado de México,TECAMAC
15-99,Estado de México,TEXCOCO
15-104,Estado de México,TLALNEPANTLA DE BAZ
15-109,Estado de México,TULTITLAN
15-121,Estado de México,CUAUTITLAN IZCALLI
15-122,Estado de México,VALLE DE CHALCO SOLIDARIDAD
