,2 Azcapotzalco,3 Coyoacan,5 Gustavo A. Madero,6 Iztacalco,7 Iztapalapa,10 Alvaro Obregon,11 Tlahuac,12 Tlalpan,13 Xochimilco,14 Benito Juarez,15 Cuauhtemoc,16 Miguel Hidalgo,17 Venustiano Carranza,33 Ecatepec,39 Ixtapaluca,57 Naucalpan,58 Nezahualcoyotl,104 Tlalnepantla
Día 1,1,1,1,1,1,1,2,2,3,2,3,4,1,1,3,1,3,1
Día 2,3,1,1,2,3,1,2,1,1,0,3,9,1,2,0,1,2,1
Día 3,4,1,1,0,1,5,0,1,2,1,1,9,0,0,0,0,0,2
Día 4,2,3,2,2,1,4,2,3,3,1,1,6,0,0,0,1,0,1
Día 5,3,2,0,3,1,0,0,2,1,1,3,5,3,3,1,4,0,1
Día 6,2,1,1,0,1,8,2,1,0,1,0,12,0,4,1,2,0,5
Día 7,2,1,1,4,5,2,0,1,0,3,3,8,0,1,2,4,4,1
Día 8,3,1,2,3,4,5,2,2,1,1,1,12,3,3,1,0,1,1
Día 9,4,0,2,2,2,4,5,0,4,0,1,15,0,4,1,1,2,11
Día 10,3,3,4,2,4,5,1,5,5,1,5,3,0,1,0,0,2,1
Día 11,4,4,4,2,6,2,6,1,1,1,4,1,1,7,1,1,3,5
Día 12,9,4,7,2,10,1,4,0,2,0,5,1,6,2,2,2,3,5
Día 13,2,2,7,3,5,1,1,2,3,1,1,4,2,5,3,1,4,8
Día 14,2,1,12,5,5,2,3,1,6,1,7,4,3,3,1,1,7,4
Día 15,1,2,5,6,2,2,8,2,0,0,6,3,4,8,2,1,5,4
Día 16,6,5,8,2,7,5,6,3,4,3,4,7,6,3,2,1,6,5
Día 17,7,3,11,4,11,4,9,8,1,1,2,2,4,3,6,1,4,9
Día 18,6,2,14,9,14,3,6,3,10,5,5,5,5,15,0,8,2,5
Día 19,6,3,10,9,16,3,11,3,8,4,4,2,14,9,1,5,5,5
Día 20,6,3,6,11,10,5,6,3,4,1,8,6,6,9,3,2,9,5
Día 21,9,4,15,22,21,3,4,9,5,8,13,4,4,7,1,3,6,8
Día 22,6,8,20,15,19,4,15,5,8,4,9,9,6,13,5,0,8,5
Día 23,7,5,21,19,15,7,15,3,5,6,15,7,2,10,8,5,6,19
Día 24,12,11,15,20,24,9,26,3,13,10,11,0,3,15,7,4,14,11
Día 25,12,4,14,17,21,3,14,4,13,3,9,3,4,19,6,1,16,12
Día 26,18,16,6,19,14,2,15,2,11,3,9,2,7,18,4,3,12,12
Día 27,9,15,17,10,14,8,7,5,6,5,5,7,20,24,8,3,18,6
Día 28,5,8,42,34,50,4,14,7,11,5,20,2,10,33,9,3,17,9
Día 29,4,20,25,25,46,8,16,16,6,6,11,7,6,20,12,5,14,11
Día 30,13,9,30,18,32,14,38,15,8,10,15,3,17,21,8,8,25,13
Día 31,20,19,22,15,56,15,16,10,37,8,18,6,10,21,6,10,25,16
Día 32,20,18,45,39,61,5,22,14,14,6,17,5,7,26,6,2,18,14
Día 33,12,17,21,14,41,6,13,16,25,9,9,6,21,34,20,6,20,16
Día 34,17,15,23,11,53,14,17,15,18,12,6,11,22,31,9,3,43,26
Día 35,11,8,48,47,92,25,23,31,32,15,25,13,34,20,21,4,36,4
Día 36,6,31,76,44,86,19,36,16,17,11,22,7,18,44,14,8,27,3
Día 37,24,26,48,33,87,26,32,16,12,6,17,9,29,29,5,10,36,14
Día 38,23,19,57,32,61,24,43,28,22,9,19,12,9,25,10,14,40,15
Día 39,26,31,59,23,97,11,26,48,26,14,28,4,12,29,9,13,28,18
Día 40,24,26,24,18,60,9,27,23,19,11,17,6,25,33,11,6,31,29
Día 41,16,21,21,23,62,21,15,18,34,16,16,21,25,46,19,7,68,12
Día 42,17,7,66,51,103,24,23,48,22,12,33,19,27,46,14,8,46,18
Día 43,7,24,63,24,113,18,41,51,15,10,38,9,31,37,11,17,41,18
Día 44,33,35,69,45,131,27,49,28,13,13,32,17,12,23,16,24,31,29
Día 45,40,36,66,45,120,30,43,15,49,24,21,22,5,21,15,13,41,24
Día 46,34,40,46,45,81,12,50,32,28,14,19,9,14,52,14,23,21,26
Día 47,37,16,40,20,80,18,61,13,25,18,19,5,50,38,11,22,25,23
Día 48,50,19,27,19,64,43,34,13,41,14,16,21,20,45,27,11,74,28
Día 49,17,16,107,63,125,31,24,25,56,17,37,21,48,45,11,18,43,23
Día 50,24,49,79,47,119,31,65,32,35,27,40,23,54,42,14,18,43,12
Día 51,35,36,74,43,144,30,53,49,28,25,35,20,45,25,13,18,71,33
Día 52,47,43,97,56,112,26,70,35,44,9,49,6,15,12,21,19,66,27
Día 53,55,55,106,52,180,14,65,18,43,17,40,16,15,54,8,21,18,34
Día 54,53,56,47,31,102,15,38,26,52,18,22,13,42,58,7,25,29,33
Día 55,56,19,47,18,76,36,27,28,42,27,11,22,52,56,22,18,83,27
Día 56,32,19,107,54,136,38,10,52,65,23,59,16,52,55,17,13,62,22
Día 57,23,50,99,48,147,55,41,46,53,18,48,24,38,59,24,37,67,14
Día 58,44,61,121,41,170,31,40,53,27,21,61,28,64,36,24,32,69,28
Día 59,48,50,111,52,136,34,65,55,59,20,34,25,27,23,24,22,66,37
Día 60,64,37,117,54,168,26,27,53,57,17,48,10,24,76,12,44,39,30
Día 61,56,53,54,16,115,19,16,21,53,11,26,10,49,49,15,22,29,25
Día 62,45,37,38,19,63,43,28,19,66,29,27,30,64,59,24,16,74,37
Día 63,26,14,143,45,196,57,15,39,65,25,49,30,54,56,21,10,56,15
Día 64,22,69,137,50,184,58,51,46,24,19,52,36,49,66,28,31,61,28
Día 65,58,59,142,43,177,57,45,47,20,23,64,19,45,22,18,47,80,35
Día 66,47,53,108,43,175,51,69,63,69,19,39,26,9,34,19,47,53,47
Día 67,58,54,93,37,139,32,40,62,57,22,59,26,15,94,10,33,18,33
Día 68,48,52,42,27,79,28,53,32,66,17,21,16,64,62,9,28,28,44
Día 69,52,18,37,21,61,72,22,17,41,28,22,42,38,56,25,26,60,27
Día 70,31,18,151,50,138,65,8,56,74,25,68,41,54,66,19,17,69,20
Día 71,25,62,122,40,142,51,44,46,24,21,44,33,34,61,34,43,71,14
Día 72,53,64,119,47,143,63,48,58,30,22,39,25,50,35,21,26,46,43
Día 73,63,58,103,47,137,46,44,48,81,41,51,26,23,25,22,41,53,42
